"Status","Comment"
"Not SATD","Receives a date and returns a string with the date in a human readable format"
"Not SATD","If we are using this widget to show numbers as money or percent, we can set `isMoney` or `isPercentage` to true in the uiSchema."
"Not SATD","If we need to set the amount of decimal places, we can set it in the uiSchema, otherwise there will be no decimal places."
"Not SATD","Hardcoded for now, we can change it if we need to"
"Not SATD","This ensures that a minimum of three fiscal years are displayed, even if the user hasn't filled out any milestone information yet"
"Not SATD","If we are using this widget to show numbers as money or percent, we can set `isMoney` or `isPercentage` to true in the uiSchema."
"Not SATD","If we need to set the amount of decimal places, we can set it in the uiSchema, otherwise there will be no decimal places."
"Not SATD","This is required since we render a <span> component"
"Not SATD","This color is somehow grey-ish to bypass accessibility issues"
"Not SATD","If we are using this widget to show numbers as money or percent, we can set `isMoney` or `isPercentage` to true in the uiSchema."
"Not SATD","If we need to set the amount of decimal places, we can set it in the uiSchema, otherwise there will be no decimal places."
"Not SATD","If we are using this widget to show numbers as money or percent, we can set `isMoney` or `isPercentage` to true in the uiSchema."
"Not SATD","If we need to set the amount of decimal places, we can set it in the uiSchema, otherwise there will be no decimal places."
"Not SATD","If we are using this widget to show numbers as money or percent, we can set `isMoney` or `isPercentage` to true in the uiSchema."
"Not SATD","If we need to set the amount of decimal places, we can set it in the uiSchema, otherwise there will be no decimal places."
"Not SATD","This hook creates an archive mutation by wrapping the relay `useMutationWithErrorMessage` hook and* setting the mutation variables with a `archivedAt` value.** @param relayNodeName the name of the relay node the mutation is applied to, e.g. ""projectRevision"", ""formChange"", ...* @param mutation the GraphQL 'update' mutation on the relay node* @returns a tuple with the archinf mutation and a boolean indicating if the mutation is in flight** example usage:** const mutation = graphql`*    mutation archiveMyEntityMutation($input: UpdateMyEntityInput!) {*     updateMyEntity(input: $input) {*      __typename*    }* }`;** const [archiveMyEntityMutation, isInFlight] = useArchiveMutation(""myEntity"", mutation);"
"Not SATD"," Debounced mutations should be commited immediately to perform the optimisticUpdate The actual request will be debounced in the network layer Here we either dispose of a debounced mutation, or remove it from the map when it errors/completes"
"Not SATD","Specific mutation for a form_change for a project.* Includes whether the suggested proposal reference is unique in the system."
"Not SATD","Specific mutation for a form_change for a funding agreement."
"Not SATD","Delete mutation for a form_change that was created in the same revision."
"Not SATD","Delete mutation for a form_change that was created in a previous revision & should be updated with operation = 'ARCHIVE'."
"Not SATD","Specific mutation for a form_change for a project.* Includes whether the suggested proposal reference is unique in the system."
"Not SATD","Growthbook - external-operators"
"Not SATD","we don't care about the actual base here, just want to parse the search params"
"Not SATD","Growthbook - amendments"
"Not SATD"," Invalidate the entire store,to make sure that we don't display any stale data after redirecting to the next page. This could be optimized to only invalidate the affected records."
"Not SATD","Function: approve staged change, trigger an insert on the project*  table & redirect to the project page"
"Not SATD","Growthbook - amendments"
"Not SATD","Growthbook - amendments"
"Not SATD","filtering to show only the amendment statuses that are allowed to be selected based on the revision type"
"Not SATD","eslint-disable relay/must-colocate-fragment-spreads"
"Not SATD","Growthbook - external-operators"
"Not SATD","eslint-disable relay/graphql-naming"
"Not SATD","/// Metabase"
"Not SATD","/// Support email mailto:"
"Not SATD","/// Operators"
"Not SATD","/// Contact"
"Not SATD","Optional queries are used to create new contact and redirect the user to back to the project contact form"
"Not SATD","/// Project Revision"
"Not SATD","/// Project"
"Not SATD","// External User"
"Not SATD","Allow the server to send any in-flight requests before shutting down"
"Not SATD"," graphql-upload exports the `.js` in the path: https://github.com/jaydenseric/graphql-upload/blob/aa15ee0eb2b3a4e2421d098393bbbf9252f1a8c7/package.json#L41 eslint-disable-next-line import/extensions"
"Not SATD"," trust the first proxy, so that secure cookies are set, even though the request reaching the express container is not secure"
"Not SATD"," If authentication is disabled use the user above to connect to the database Otherwise, use the PGUSER env variable"
"Not SATD","Database connection service that creates a pgPool connectionbased on database options in the environment variables of calling process."
"Not SATD","Takes a 'cookies' object (key-value pairs in an object)"
"Not SATD"," if the ENABLE_MOCK_TIME or ENABLE_DB_MOCKS_COOKIES_ONLY env variable is set, creates the settings object needed for postgres to use the mocks schema by default and the fields to retrieve from the cookies"
"Not SATD","import from dist/helpers to prevent bundling all the @bcgov-cas/sso-express dependencies"
"Not SATD"," When we will have other identity providers, we can check it the identity_provider claim return req.claims.identity_provider === ""idir"" ? [groupConstants.UNAUTHORIZED_IDIR_USER] : [groupConstants.NON_IDIR_USER];"
"Not SATD"," Renders a static info page on unsupported browsers. Files in /public/ are excluded."
"Not SATD","This middleware calls the createUserFromSession mutation."
"Not SATD","Tell search + crawlers not to index non-production environments:"
"Not SATD","True if the host has been configured to use https"
"Not SATD","There is no need to pass a context to the resolver at this time"
"Not SATD","This is a list of schema names that live in the database and*  not as static json data in the code.*  The validation plugin will try to fetch them from the cif.form table*  instead of using the static json schema."
"Not SATD","There is no need to pass a context to the resolver at this time"
"Not SATD","If the mutation doesn't change the form data, we don't need to re-validate"
"Not SATD"," This is the recommended way to fetch data ahead of running the resolver of the GraphQL mutation - see first ""IMPORTANT"" note here: https://www.graphile.org/postgraphile/make-extend-schema-plugin/#the-selectgraphqlresultfromtable-helper"
"Not SATD","Use consola for logging instead of default logger"
"Not SATD","You can add more to context if you like"
"Not SATD"," Execute your GraphQL query in this function with the provided `context` object, which should NOT be used outside of this function."
"Not SATD","Save tile to remote storage system"
"Not SATD","Replace existing GraphQL type with `Upload` type"
"Not SATD","Extract the old resolver from `field`"
"SATD","eslint-disable-next-line @typescript-eslint/no-shadow"
"Not SATD","Copy over everything except 'resolve'"
"Not SATD","Recursively check for Upload promises to resolve"
"SATD","eslint-disable-next-line require-atomic-updates"
"Not SATD","Call the old resolver"
"Not SATD","Finally return the result."
"Not SATD"," graphql-upload exports the `.js` in the path: https://github.com/jaydenseric/graphql-upload/blob/aa15ee0eb2b3a4e2421d098393bbbf9252f1a8c7/package.json#L45 eslint-disable-next-line import/extensions"
"Not SATD"," It's possible that `resolve` isn't specified on a field, so in that case we fall back to a default resolver."
"Not SATD"," Add our new resolver which wraps the old resolver eslint-disable-next-line @typescript-eslint/no-shadow"
"Not SATD","File copied from https://github.com/graphile-contrib/postgraphile-plugin-upload-field/blob/5aca056eacda9a9206323af49dd9528e607e20a7/src/UploadFieldPlugin.js* And updated to support the newer export style from graphql-upload"
"Not SATD","AJV needs to be made aware of any custom formats used in the schema"
"Not SATD"," ajv caches compiled schemas on first instantiation, we don't need to precompile schemas in advance"
"Not SATD"," This is fine since this is a react functional component eslint-disable-next-line react-hooks/rules-of-hooks"
"SATD","eslint-disable-next-line jest/no-standalone-expect"
"Not SATD","mocking the getConfig function to return a mocked config object to be used in `getSupportEmailMailTo` function"
"Not SATD","change the route and re-render, the mutation should be called again"
"Not SATD","rerender without changing the route, should not call the mutation again"
"SATD"," TODO: use assertion when the project summary report is implemented expect(screen.getByText(/project summary report/i)).toBeVisible();"
"Not SATD"," We're using a wrapper component to avoid rendering errors with <td> elements not being in a table."
"Not SATD","Reset the mocked system date"
"Not SATD","Once per form"
"Not SATD","First Node"
"Not SATD","updated due date"
"Not SATD","updated received date"
"Not SATD","Second Node"
"Not SATD","Third Node"
"Not SATD","Fourth Node"
"Not SATD","Clear button only appear one time"
"Not SATD","Remove buttons only appear on alternate contacts"
"Not SATD","Warning: Expected `optimisticResponse` to match structure of server response for mutation `updateFormChangeMutation`"
"Not SATD","Once per form"
"Not SATD","rank needs to be placed here because for any nested ProjectRevision type, the Relay testing environment uses this top-level ProjectRevision() generator"
"Not SATD","Also ensures that funding stream is read only"
"Not SATD","Additional Funding Source section"
"Not SATD","Expenses & Payments Tracker Section"
"Not SATD","Additional Funding Source section"
"Not SATD","Expenses & Payments Tracker Section"
"Not SATD","The Funding Parameters"
"Not SATD","The additional funding source"
"Not SATD"," max funding changes max funding changes"
"Not SATD","The whole `formChange` object is null before a manager is selected, so the form change id (comes from `rowId`) is undefined. This test should be updated to mock data if the underlying architecture changes to return a non-null form_change object."
"Not SATD"," Warning: Expected `optimisticResponse` to match structure of server response for mutation `addManagerToRevisionMutation`, Warning: RelayResponseNormalizer: Payload did not contain a value for field `id: id`. Check that you are parsing with the same query that was used to fetch the payload. RelayObservable: Unhandled Error Error: at /home/briannacerkiewicz/cas-cif/app/tests/unit/components/Form/ProjectManagerForm.test.tsx:220:50"
"Not SATD"," Warning: Expected `optimisticResponse` to match structure of server response for mutation `updateFormChangeMutation`, Warning: RelayResponseNormalizer: Payload did not contain a value for field `operation: operation`. Check that you are parsing with the same query that was used to fetch the payload."
"Not SATD"," Warning: Expected `optimisticResponse` to match structure of server response for mutation `deleteManagerFromRevisionWithArchiveMutation`, Warning: RelayResponseNormalizer: Payload did not contain a value for field `query: query`. Check that you are parsing with the same query that was used to fetch the payload."
"Not SATD","changed fields"
"Not SATD","Archive milestone report"
"Not SATD","description diff"
"Not SATD","milestone diff"
"Not SATD","report due date diff"
"Not SATD","select the overall status badge"
"Not SATD","Once per form"
"Not SATD","First Node"
"Not SATD","Second Node"
"Not SATD","Third Node"
"Not SATD","Fourth Node"
"Not SATD","only the changed field is visible"
"Not SATD","Disclaimer"
"Not SATD","Privacy"
"Not SATD","Accessibility"
"SATD","Copyright"
"Not SATD","Contact Us"
"Not SATD","Program Details"
"Not SATD","Disclaimer"
"Not SATD","Privacy"
"Not SATD","Accessibility"
"SATD","Copyright"
"Not SATD"," I'm not testing the href because it is using a function and that function returns undefined during the test.(It's working perfectly on the rendered page though) tried to mock the function itself but it didn't work"
"Not SATD"," We're using a wrapper component to avoid rendering errors with <td> elements not being in a table."
"Not SATD","testing some classnames that are used to style the diff"
"Not SATD"," We're using a wrapper component to avoid rendering errors with <td> elements not being in a table."
"Not SATD","mocking the bcgov theme button because we need enable the button for testing"
"SATD","TODO: remove this when we have a mock of the mutation function"
"SATD","TODO: replace this with a mock of the mutation function"
"SATD","TODO: replace this with a mock of the mutation function"
"SATD","TODO: replace this with a mock of the mutation function"
"SATD","TODO: replace this with a mock of the mutation function"
"SATD","TODO: replace this with a mock of the mutation function"
"Not SATD","Reset the mocked system date"
"Not SATD","Group role grabs the fieldset"
"Not SATD","Effectively Jan 20th on Vancouver time (Jan 21st 1:10am EST)"
"Not SATD","Group role grabs the fieldset"
"Not SATD","Group role grabs the fieldset"
"Not SATD","Group role grabs the fieldset"
"Not SATD","Group role grabs the fieldset"
"Not SATD","eslint and the relay compiler are conflicting here."
"Not SATD","eslint-disable relay/graphql-naming"
"SATD","eslint-disable-next-line @typescript-eslint/no-unused-vars"
"SATD","eslint-disable-next-line @typescript-eslint/no-unused-vars"
"Not SATD","The main functionality is already tested in the useDiscardFormChange test (which is a better integration test)."
"Not SATD","A mock function to allow us to test which mutation is processed"
"Not SATD","A mock function to allow us to test which mutation is processed"
"Not SATD","No debounceKey here"
"Not SATD","A mock function to allow us to test which mutation is processed"
"Not SATD","A mock function to allow us to test which mutation is processed"
"Not SATD","This is not a mutation"
"Not SATD"," `commitInRender` never changes in the test eslint-disable-next-line react-hooks/rules-of-hooks"
"Not SATD","This test setup is based on the test of the useMutation hook in* the react-relay library."
"Not SATD","@jest-environment node"
"Not SATD","the date is formatted using locale and it can show up slightly differently in different browsers (e.g., sometimes there's a period after the month abbreviation, sometimes there's not)"
"Not SATD","This is a required prop but not required for the test"
"Not SATD","This is a required prop but not required for the test"
"Not SATD","@jest-environment node"
"Not SATD","@jest-environment node"
"Not SATD","5 rows: 1 header, 1 filter, 1 for the pagination, and 2 for the attachments"
"Not SATD","eslint-disable-next-line jest/expect-expect"
"Not SATD","4 rows: 1 header, 1 filter, 1 for the pagination, and 1 for the amendment and revision"
"Not SATD","If the form is the project manager form, return the project manager schema"
"Not SATD","If the form is the project contact form, return the project contact schema"
"Not SATD","Handle default case"
"Not SATD","We need a non-null amount of form changes"
"Not SATD","https://relay.dev/docs/next/guides/testing-relay-with-preloaded-queries/#configure-the-query-resolver-to-generate-the-response* To find the key of the generated operation, one can call* `console.log(JSON.stringify(operation, null, 2))`* just before returning the MockPayloadGenerator and looking for concreteType instances"
"Not SATD","https://relay.dev/docs/next/guides/testing-relay-with-preloaded-queries/#configure-the-query-resolver-to-generate-the-response* To find the key of the generated operation, one can call* `console.log(JSON.stringify(operation, null, 2))`* just before returning the MockPayloadGenerator and looking for concreteType instances"
"Not SATD","1. The response has the right headers set"
"Not SATD","2. The storage client's file's pipe method has been called with the response object"
"Not SATD","@jest-environment node"
"Not SATD","@jest-environment node"
"Not SATD","testing this in the next test"
"Not SATD","this validates it is the project schema"
"Not SATD","testing this in the next test"
"Not SATD","testing this in the next test"
"Not SATD","Once to fetch the schema name"
"Not SATD","Once to fetch the schema from the database"
"Not SATD","testing this in the next test"
"Not SATD","Enable all growthbook feature flags in jest by defaultotherwise, all tests with 'off' feature flags will fail"
"Not SATD","-*- coding: utf-8 -*-"
"Not SATD"," # DAG triggering cron jobs to setup the cif database                       # #"
"Not SATD"," # DAG to test database backup integrity                                       # #"
"Not SATD"," # DAG to insert timestamp for backup testing                                  # #"
"Not SATD","############################################################################### #                                                                             # # DAG triggering cron jobs to setup the cif database                       # #                                                                             # ###############################################################################"
"Not SATD","############################################################################### #                                                                             # # DAG to test database backup integrity                                       # #                                                                             # ###############################################################################"
"Not SATD","############################################################################### #                                                                             # # DAG to insert timestamp for backup testing                                  # #                                                                             # ###############################################################################"
"Not SATD","In case of a parsing error or anything else, we return the regular now() behaviour"
"Not SATD"," Deploy mocks:mock_now_method to pg requires: schema_mocks"
"Not SATD"," look at the database options if there is a value set if it's not set the current_setting method returns nil and we return now()"
"Not SATD","Converting timestamptz to unix epoch"
"Not SATD"," Deploy mocks:set_mocked_time_in_transaction to pg requires: mock_now_method"
"Not SATD","Deploy mocks:schemas/main to pg"
"Not SATD","Revert mocks:mock_now_method from pg"
"Not SATD","Revert mocks:set_mocked_time_in_transaction from pg"
"Not SATD","Revert mocks:schema_mocks from pg"
"Not SATD","3) we verify that if we set the mocks.mocked_timestamp value to null? or removed? or invalid? we default to now()"
"Not SATD","4) We verify that fractional epochs are supported"
"Not SATD"," writing this test on Oct 28th, 2020 1) we verify that now() works"
"Not SATD"," 2) we verify that, if we set the 'mocks.mocked_timestamp' value, now() defaults to that 925920000 is May 5th 1999 at 9am, as Unix Epoch, west coast time"
"SATD"," the method should take care of the search path for the transaction no need to specify which `mocks()` we call"
"Not SATD"," writing this test on Dec 7, 2020 1) we verify that now() works"
"Not SATD"," 2) we verify that, if we call set_mocked_time_in_transaction, time travel is properly enabled 925920000 is May 5th 1999 at 9am, as Unix Epoch, west coast time"
"Not SATD","Verify mocks:mock_now_method on pg"
"Not SATD","Verify mocks:set_mocked_time_in_transaction on pg"
"Not SATD","Verify mocks:schema_mocks on pg"
"Not SATD","This is required as we now only allow user subs to be updated once."
"Not SATD","Commit records"
"Not SATD","ep projects"
"Not SATD","ia projects"
"Not SATD","external testing operator projects"
"Not SATD","insert milestone reports including payments"
"Not SATD","reporting requirement"
"Not SATD","insert annual reports for EP projects"
"Not SATD","insert quarterly reports for EP projects"
"Not SATD","insert project summary reports for IA projects"
"Not SATD","ep funding parameters"
"Not SATD","ia funding parameters"
"Not SATD","first Amendment type project revision"
"Not SATD","first General Revision type project revision"
"Not SATD","first Minor Revision type project revision"
"Not SATD","second Amendment type project revision"
"Not SATD","cif.cif_user should not be truncated or else all tables should be (since they all have a created_by column)"
"Not SATD","Deploy cif:create_roles to pg"
"Not SATD","The create roles affects the database globally. Cannot drop the roles once created."
"Not SATD"," Deploy cif:computed_columns/full_name to pg requires: tables/cif_user"
"Not SATD"," Deploy cif:computed_columns/full_name to pg requires: tables/cif_user"
"Not SATD","Deploy cif:computed_columns/contact_full_name to pg"
"Not SATD","Deploy cif:computed_columns/contact_full_name to pg"
"Not SATD","Deploy cif:computed_columns/contact_full_phone to pg"
"Not SATD","Deploy cif:computed_columns/contact_pending_form_change to pg"
"Not SATD","Deploy cif:computed_columns/contact_pending_form_change_001_drop_before_cif_user_update to pg"
"Not SATD"," Deploy cif:computed_columns/contact_pending_form_change_002_create_after_cif_user_update to pg requires: computed_columns/contact_pending_form_change_001_drop_before_cif_user_update"
"Not SATD"," Deploy cif:emission_intensity_report_calculated_ei_performance to pg requires: tables/emission_intensity_report"
"Not SATD"," Deploy cif:emission_intensity_report_calculated_ei_performance to pg requires: tables/emission_intensity_report"
"Not SATD"," Deploy cif:emission_intensity_report_calculated_ei_performance to pg requires: tables/emission_intensity_report"
"Not SATD","Deploy cif:computed_columns/form_change_as_emission_intensity_report to pg"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_contact record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned emission_intensity_report record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD","Deploy cif:computed_columns/form_change_as_emission_intensity_report to pg"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_contact record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned emission_intensity_report record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD"," Deploy cif:computed_columns/form_change_as_project to pg requires: tables/project requires: tables/project_001 requires: tables/form_change"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_contact record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned project_contact record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD"," Deploy cif:computed_columns/form_change_as_project to pg requires: tables/project requires: tables/project_001 requires: tables/form_change"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_contact record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned project_contact record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD"," Deploy cif:computed_columns/form_change_as_project to pg requires: tables/project requires: tables/project_001 requires: tables/form_change"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_contact record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned project_contact record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD"," Deploy cif:computed_columns/form_change_as_project_contact to pg requires: tables/project requires: tables/contact requires: tables/form_change"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_contact record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned project_contact record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD"," Deploy cif:computed_columns/form_change_as_project_manager to pg requires: tables/form_change requires: tables/project_manager"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_manager record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned project_manager record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD"," Deploy cif:computed_columns/form_change_as_reporting_requirement to pg requires: tables/form_change requires: tables/reporting_requirement"
"Not SATD","Given form_data_record_id can be null for some form_change records, it is not a reliable id value for the returned project_contact record.The returned id must not be null, so we use the form_change id being passed in as a parameter (multiplied by -1 to ensure we are not touching any existing records).This means the id value is not going to be the correct id for the returned project_contact record, which should be ok since we're only interestedin the data in new_form_data."
"Not SATD","Deploy cif:computed_columns/form_change_calculated_ei_performance to pg"
"Not SATD"," Deploy cif:computed_columns/form_change_calculated_gross_amount_this_milestone to pg requires: tables/form_change"
"Not SATD"," Deploy cif:computed_columns/form_change_calculated_holdback_amount_this_milestone to pg requires: tables/form_change"
"Not SATD"," Deploy cif:computed_columns/form_change_calculated_net_amount_this_milestone to pg requires: tables/form_change"
"Not SATD","Deploy cif:computed_columns/form_change_calculated_total_payment_amount_to_date from pg"
"SATD","TODO: placeholder"
"Not SATD"," Deploy cif:computed_columns/form_change_eligible_expenses_to_date to pg requires: tables/form_change"
"Not SATD"," Deploy cif:computed_columns/form_change_gross_payments_to_date to pg requires: tables/form_change"
"Not SATD"," Deploy cif:computed_columns/form_change_holdback_amount_to_date to pg requires: tables/form_change"
"Not SATD","Deploy cif:form_change_is_pristine to pg"
"Not SATD","Deploy cif:computed_columns/form_change_is_unique_value to pg"
"Not SATD"," Deploy cif:computed_columns/form_change_net_payments_to_date to pg requires: tables/form_change"
"Not SATD"," Deploy cif:functions/form_change_parent_form_change_from_revision to pg requires: tables/form_change"
"Not SATD"," Deploy cif:functions/form_change_payment_percentage to pg requires: tables/form_change requires: computed_columns/emission_intensity_report_calculated_ei_performance 100 ???????? ((-1.5) x GHG Emission Intensity Performance + 145), values capped at 0 and 100"
"Not SATD"," We need a case here becase greatest() and least() will ignore null values, while we care about returning null if both values are null."
"Not SATD"," Deploy cif:functions/form_change_payment_percentage to pg requires: tables/form_change requires: computed_columns/emission_intensity_report_calculated_ei_performance 100 ???????? ((-1.5) x GHG Emission Intensity Performance + 145)"
"Not SATD"," Deploy cif:computed_columns/form_change_reporting_requirement_status to pg requires: tables/form_change"
"Not SATD","Deploy cif:computed_columns/operator_pending_form_change to pg"
"Not SATD"," Deploy cif:computed_columns/operator_pending_form_change_001_drop_before_cif_user_update to pg requires: computed_columns/operator_pending_form_change"
"Not SATD"," Deploy cif:computed_columns/operator_pending_form_change_002_create_after_cif_user_update to pg requires: computed_columns/operator_pending_form_change_001_drop_before_cif_user_update"
"Not SATD"," Deploy cif:computed_columns/project_latest_committed_project_revision to pg requires: tables/project requires: tables/project_revision"
"Not SATD","Deploy cif:computed_columns/project_next_milestone_due_date to pg"
"Not SATD","Deploy cif:computed_columns/project_pending_project_revision to pg"
"Not SATD","Deploy cif:computed_columns/project_primary_managers to pg"
"Not SATD","Deploy cif:computed_columns/project_revision_anticipated_funding_amount_per_fiscal_year to pg"
"Not SATD","Deploy cif:computed_columns/project_revision_effective_date to pg"
"Not SATD"," Deploy cif:computed_columns/project_revision_form_changes_for to pg requires: tables/form_change requires: tables/project_revision"
"Not SATD","Deploy cif:computed_columns/project_revision_gross_payment_amount to pg"
"Not SATD","Get individual milestone statuses"
"Not SATD"," Deploy cif:computed_columns/project_revision_milestone_report_statuses to pg requires: tables/form_change"
"Not SATD","Get individual milestone statuses"
"Not SATD"," Deploy cif:computed_columns/project_revision_milestone_report_statuses to pg requires: tables/form_change"
"Not SATD","Get individual milestone statuses"
"Not SATD"," Deploy cif:computed_columns/project_revision_milestone_report_statuses to pg requires: tables/form_change"
"Not SATD","Deploy cif:computed_columns/project_revision_net_payment_amount to pg"
"Not SATD"," Deploy cif:computed_columns/project_revision_project_form_change to pg requires: tables/project_revision"
"Not SATD"," Deploy cif:computed_columns/project_revision_project_manager_form_changes_by_label to pg requires: tables/form_change requires: tables/project_manager"
"Not SATD"," Deploy cif:computed_columns/project_revision_project_manager_form_changes_by_label to pg requires: tables/form_change requires: tables/project_manager"
"Not SATD","Deploy cif:computed_columns/project_revision_rank to pg"
"Not SATD","As soon as there's a committed record for this project we want to exclude that record's score from the ranking calculation because it isn't as up-to-date as the new_form_data"
"Not SATD","If we have only another status that is not 'Not Started' and that status is 'Filled' then we are complete"
"Not SATD"," Deploy cif:computed_columns/project_revision_tasklist_status_for to pg requires: util_functions/get_form_status"
"Not SATD","If we have only another status that is not 'Not Started' and that status is 'Filled' then we are complete"
"Not SATD"," Deploy cif:computed_columns/project_revision_tasklist_status_for to pg requires: util_functions/get_form_status"
"Not SATD","Deploy cif:computed_columns/project_revision_teimp_payment_amount to pg"
"Not SATD","Deploy cif:computed_columns/project_revision_teimp_payment_percentage to pg"
"Not SATD","Deploy cif:computed_columns/project_revision_teimp_payment_percentage to pg"
"Not SATD","Deploy cif:computed_columns/project_revision_total_project_value to pg"
"Not SATD"," Deploy cif:computed_columns/project_revision_type_row_number to pg requires: tables/project requires: tables/project_revision"
"Not SATD","Deploy cif:computed_columns/project_revision_upcoming_reporting_requirement_form_change to pg"
"Not SATD","Deploy cif:computed_columns/project_revision_upcoming_reporting_requirement_form_change to pg"
"Not SATD"," Deploy cif:computed_columns/reporting_requirement_has_expenses to pg requires: tables/report_type requires: tables/reporting_requirement"
"Not SATD","Deploy cif:data/002_insert_json_schema_form_data_remove_default_from_annual_report_schema to pg"
"Not SATD","reporting_requirement (quarterly / annual report)"
"Not SATD","Deploy cif:data/005_insert_json_schema_form_data_remove_undefined_from_project_contact_schema to pg"
"Not SATD","project_contact"
"Not SATD","Deploy cif:data/006_json_schema_project_manager_form_remove_default to pg"
"Not SATD","Migration Inserts all json-schema form data into cif.form"
"Not SATD","project"
"Not SATD","project_contact"
"Not SATD","project_manager"
"Not SATD","reporting_requirement (quarterly / annual report)"
"Not SATD","contact"
"Not SATD","operator"
"Not SATD","milestone"
"Not SATD","funding_agreement"
"SATD","emission_intensity_report"
"Not SATD","add a form_change_commit_handler once they are created for the below records"
"Not SATD","additional_funding_source and funding_parameter to be removed when funding agreement form gets refactored to be one form change, just here to pass the fkey"
"Not SATD"," Deploy cif:migrations/insert_json_schema_form_data to pg requires: functions/handle_milestone_form_change_commit requires: tables/form"
"Not SATD","Deploy cif:data/insert_json_schema_form_data_project_summary to pg"
"SATD","- project_summary_report"
"Not SATD","Deploy cif:data/insert_json_schema_form_data_separate_EP_and_IA_funding_schemas to pg"
"Not SATD","funding_parameter_IA and funding_parameter_EP to be removed when funding agreement form gets refactored to be one form change, just here to pass the fkey"
"Not SATD","Deploy cif:data/insert_json_schema_form_data_update_milestone_form_field_titles to pg"
"Not SATD","Deploy cif:data/insert_json_schema_form_dependency_update_milestone_form_total_eligible_expenses to pg"
"Not SATD","Deploy cif:functions/funding_form_changes_to_separate_schemas to pg"
"Not SATD","If there is no change in the form data, return the form_change record and do not touch the associated table."
"Not SATD","it is necessary to put the values in a row(...) in case there is only one value;"
"Not SATD"," Deploy cif:functions/handle_default_form_change_commit to pg requires: tables/form_change"
"Not SATD","Prune the form_data object of any deprecated columns.If a column is deprecated, but the key still exists in older form data recordsit will cause an error when trying to insert data into that column."
"Not SATD","If there is no change in the form data, return the form_change record and do not touch the associated table."
"Not SATD","it is necessary to put the values in a row(...) in case there is only one value;"
"Not SATD"," Deploy cif:functions/handle_default_form_change_commit to pg requires: tables/form_change"
"Not SATD","If there is no change in the form data, return the form_change record and do not touch the associated table."
"Not SATD","can be null if creating with empty form data...problem?"
"Not SATD"," Deploy cif:functions/handle_milestone_form_change_commit to pg requires: tables/form_change"
"Not SATD","If there is no change in the form data, return the form_change record and do not touch the associated table."
"Not SATD"," Deploy cif:functions/handle_project_summary_report_form_change_commit to pg requires: tables/form_change"
"Not SATD","Deploy cif:functions/migration_milestone_form_changes_to_single_form_change to pg"
"Not SATD","reporting requirement data"
"Not SATD","has_expenses comes from the report type table"
"Not SATD","milestone report data"
"SATD"," payment data we aren't tracking calculated amounts yet, the migration function doesn't need to take care of them."
"Not SATD","Deploy cif:functions/pending_new_form_change_for_table to pg"
"Not SATD"," Deploy cif:functions/pending_new_form_change_for_table_001_drop_before_cif_user_update to pg requires: functions/pending_new_form_change_for_table"
"Not SATD"," Deploy cif:functions/pending_new_form_change_for_table_002_create_after_cif_user_update to pg requires: functions/pending_new_form_change_for_table_001_drop_before_cif_user_update"
"Not SATD","Deploy cif:functions/pending_new_project_revision to pg"
"Not SATD"," Deploy cif:functions/pending_new_project_revision_001_drop_before_cif_user_update to pg requires: functions/pending_new_project_revision"
"Not SATD"," Deploy cif:functions/pending_new_project_revision_002_create_after_cif_user_update to pg requires: functions/pending_new_project_revision_001_drop_before_cif_user_update"
